Date,Price,Open,High,Low,Vol.,Change %
07/21/2021,74.495,74.525,74.642,74.493,,-0.05%
07/20/2021,74.535,74.944,74.973,74.535,,-0.43%
07/19/2021,74.858,74.681,75.032,74.681,,0.33%
07/16/2021,74.61,74.532,74.669,74.491,,0.08%
07/15/2021,74.55,74.462,74.576,74.436,,0.11%
07/14/2021,74.47,74.654,74.66,74.461,,-0.17%
07/13/2021,74.6,74.519,74.679,74.406,,0.07%
07-12-2021,74.545,74.537,74.685,74.415,,0.08%
07-09-2021,74.487,74.762,74.768,74.468,,-0.34%
07-08-2021,74.74,74.744,74.875,74.66,,-0.08%
07-07-2021,74.8,74.762,74.82,74.56,,0.28%
07-06-2021,74.591,74.335,74.629,74.243,,0.37%
07-05-2021,74.317,74.553,74.582,74.284,,-0.27%
07-02-2021,74.518,74.558,74.887,74.502,,-0.06%
07-01-2021,74.565,74.364,74.639,74.33,,0.27%
06/30/2021,74.365,74.218,74.474,74.205,,0.09%
06/29/2021,74.3,74.277,74.352,74.205,,0.03%
06/28/2021,74.275,74.159,74.316,74.159,,0.07%
06/25/2021,74.22,74.172,74.258,74.116,,0.04%
06/24/2021,74.19,74.225,74.278,74.11,,0.05%
06/23/2021,74.15,74.35,74.406,74.056,,-0.26%
06/22/2021,74.34,74.12,74.418,74.051,,0.27%
06/21/2021,74.14,74.102,74.336,74.058,,0.03%
06/18/2021,74.12,74.208,74.301,73.818,,-0.09%
06/17/2021,74.186,73.593,74.263,73.588,,1.24%
06/16/2021,73.275,73.345,73.394,73.26,,-0.12%
06/15/2021,73.36,73.208,73.383,73.159,,0.24%
06/14/2021,73.185,73.257,73.296,73.102,,-0.08%
06-11-2021,73.245,73.005,73.262,72.883,,0.23%
06-10-2021,73.08,72.948,73.135,72.932,,0.13%
06-09-2021,72.985,72.92,73.02,72.884,,0.04%
06-08-2021,72.955,72.783,72.975,72.765,,0.20%
06-07-2021,72.811,72.918,72.952,72.763,,-0.08%
06-04-2021,72.87,73.04,73.129,72.812,,-0.24%
06-03-2021,73.045,73.016,73.185,72.833,,0.12%
06-02-2021,72.96,72.86,73.333,72.86,,0.13%
06-01-2021,72.865,72.484,72.958,72.475,,0.48%
05/31/2021,72.518,72.377,72.662,72.347,,0.15%
05/28/2021,72.41,72.692,72.692,72.32,,-0.41%
05/27/2021,72.71,72.684,72.798,72.508,,-0.02%
05/26/2021,72.725,72.805,72.805,72.63,,-0.10%
05/25/2021,72.795,72.87,72.88,72.745,,-0.05%
05/24/2021,72.835,72.861,72.983,72.825,,0.01%
05/21/2021,72.827,73.007,73.095,72.76,,-0.26%
05/20/2021,73.015,73.157,73.227,73.015,,-0.28%
05/19/2021,73.22,73.13,73.25,72.938,,0.23%
05/18/2021,73.055,73.222,73.27,72.956,,-0.38%
05/17/2021,73.335,73.281,73.335,73.151,,0.05%
05/14/2021,73.3,73.45,73.486,73.189,,-0.24%
05/13/2021,73.48,73.611,73.662,73.47,,-0.08%
05-12-2021,73.538,73.379,73.541,73.371,,0.22%
05-11-2021,73.375,73.503,73.54,73.28,,-0.12%
05-10-2021,73.46,73.283,73.497,73.267,,0.28%
05-07-2021,73.254,73.619,73.757,73.248,,-0.48%
05-06-2021,73.605,73.788,74.007,73.595,,-0.28%
05-05-2021,73.81,73.769,74.055,73.741,,0.05%
05-04-2021,73.77,73.849,73.982,73.77,,-0.07%
05-03-2021,73.82,74.26,74.335,73.82,,-0.32%
04/30/2021,74.055,74.131,74.208,73.945,,-0.06%
04/29/2021,74.1,74.21,74.295,73.957,,-0.53%
04/28/2021,74.493,74.6,74.605,74.279,,-0.13%
04/27/2021,74.59,74.798,74.843,74.513,,-0.22%
04/26/2021,74.757,74.749,74.941,74.689,,-0.23%
04/23/2021,74.93,75.131,75.134,74.76,,-0.25%
04/22/2021,75.12,75.422,75.438,74.85,,-0.42%
04/21/2021,75.439,75.371,75.579,75.293,,0.06%
