date,ticker,close_price,sentiment_score,usd_inr_rate,interest_rate,unemployment_rate,return_1,return_direction
2020-02-27,TCS,1933.6052,0.0,71.655,5.15,7.859,0.0,0
2020-02-28,TCS,1836.856,0.0,72.539,5.15,7.859,-0.050035653607054864,0
2020-02-28,TCS,1836.856,0.0,72.539,5.15,7.859,0.0,0
2020-02-28,TCS,1836.856,0.0,72.539,5.15,7.859,0.0,0
2020-02-28,TCS,1836.856,-0.1531,72.539,5.15,7.859,0.0,0
2020-02-28,TCS,1836.856,0.0,72.539,5.15,7.859,0.0,1
2020-03-02,TCS,1837.9122,0.0,72.539,5.15,7.859,0.0005750042463861238,0
2020-03-02,TCS,1837.9122,0.0,72.539,5.15,7.859,0.0,0
2020-03-02,TCS,1837.9122,0.0,72.539,5.15,7.859,0.0,1
2020-03-03,TCS,1869.9633,0.4215,72.539,5.15,7.859,0.017438863510454983,0
2020-03-03,TCS,1869.9633,-0.3818,72.539,5.15,7.859,0.0,1
2020-03-04,TCS,1913.1262,0.5994,72.539,5.15,7.859,0.023082217709834207,0
2020-03-04,TCS,1913.1262,0.0,72.539,5.15,7.859,0.0,0
2020-03-04,TCS,1913.1262,-0.5719,72.539,5.15,7.859,0.0,0
2020-03-04,TCS,1913.1262,0.0,72.539,5.15,7.859,0.0,1
2020-03-05,TCS,1951.559,-0.4215,72.539,5.15,7.859,0.020089004060474425,0
2020-03-05,TCS,1951.559,0.296,72.539,5.15,7.859,0.0,0
2020-03-06,TCS,1943.6616,-0.1531,72.539,5.15,7.859,-0.004046713422448445,0
2020-03-06,TCS,1943.6616,0.1779,72.539,5.15,7.859,0.0,0
2020-03-06,TCS,1943.6616,0.0,72.539,5.15,7.859,0.0,0
2020-03-06,TCS,1943.6616,-0.4023,72.539,5.15,7.859,0.0,0
2020-03-09,TCS,1811.3258,0.0,72.539,5.15,7.859,-0.06808582317004142,0
2020-03-09,TCS,1811.3258,-0.4019,72.539,5.15,7.859,0.0,0
2020-03-09,TCS,1811.3258,0.0,72.539,5.15,7.859,0.0,0
2020-03-09,TCS,1811.3258,0.0,72.539,5.15,7.859,0.0,0
2020-03-09,TCS,1811.3258,0.0,72.539,5.15,7.859,0.0,0
2020-03-11,TCS,1794.1984,0.0,72.539,5.15,7.859,-0.009455725745197263,0
2020-03-11,TCS,1794.1984,-0.5719,72.539,5.15,7.859,0.0,0
2020-03-11,TCS,1794.1984,0.0,72.539,5.15,7.859,0.0,0
2020-03-11,TCS,1794.1984,0.0,72.539,5.15,7.859,0.0,0
2020-03-12,TCS,1625.3582,0.0,72.539,5.15,7.859,-0.09410341687964952,0
2020-03-12,TCS,1625.3582,-0.6249,72.539,5.15,7.859,0.0,0
2020-03-12,TCS,1625.3582,0.0,72.539,5.15,7.859,0.0,0
2020-03-12,TCS,1625.3582,0.0,72.539,5.15,7.859,0.0,0
2020-03-12,TCS,1625.3582,0.0,72.539,5.15,7.859,0.0,1
2020-03-13,TCS,1658.8324,0.0258,73.84,5.15,7.859,0.020594967927685115,0
2020-03-13,TCS,1658.8324,-0.0516,73.84,5.15,7.859,0.0,0
2020-03-13,TCS,1658.8324,0.0,73.84,5.15,7.859,0.0,0
2020-03-13,TCS,1658.8324,0.0,73.84,5.15,7.859,0.0,0
2020-03-13,TCS,1658.8324,0.4019,73.84,5.15,7.859,0.0,0
2020-03-13,TCS,1658.8324,0.4404,73.84,5.15,7.859,0.0,0
2020-03-13,TCS,1658.8324,-0.3818,73.84,5.15,7.859,0.0,0
2020-03-16,TCS,1557.9044,-0.2732,74.003,5.15,7.859,-0.060842795209449796,0
2020-03-16,TCS,1557.9044,0.0,74.003,5.15,7.859,0.0,0
2020-03-16,TCS,1557.9044,0.1779,74.003,5.15,7.859,0.0,0
2020-03-16,TCS,1557.9044,-0.802,74.003,5.15,7.859,0.0,0
2020-03-17,TCS,1522.6395,0.34,74.062,5.15,7.859,-0.02263611297329915,0
2020-03-17,TCS,1522.6395,0.34,74.062,5.15,7.859,0.0,0
2020-03-17,TCS,1522.6395,0.0,74.062,5.15,7.859,0.0,0
2020-03-17,TCS,1522.6395,0.4215,74.062,5.15,7.859,0.0,0
2020-03-17,TCS,1522.6395,0.0,74.062,5.15,7.859,0.0,0
2020-03-17,TCS,1522.6395,0.0,74.062,5.15,7.859,0.0,0
2020-03-18,TCS,1519.3336,-0.7906,74.55,5.15,7.859,-0.0021711639557492335,0
